,ticker,fiscal_year,comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,comprehensive_income_loss,other_comprehensive_income_loss_attributable_to_parent
0000050863:2009:FY,INTC,2009,5155000000.0,0.0,5155000000.0,5155000000.0,
0000050863:2010:FY,INTC,2010,11404000000.0,0.0,11404000000.0,11404000000.0,
0000050863:2011:FY,INTC,2011,11828000000.0,0.0,11828000000.0,11828000000.0,
0000050863:2012:FY,INTC,2012,11387000000.0,0.0,382000000.0,11387000000.0,
0000050863:2013:FY,INTC,2013,11262000000.0,0.0,1642000000.0,11262000000.0,
0000050863:2014:FY,INTC,2014,11127000000.0,0.0,-577000000.0,11127000000.0,
0000050863:2015:FY,INTC,2015,10814000000.0,0.0,-606000000.0,10814000000.0,
0000050863:2016:FY,INTC,2016,10362000000.0,0.0,46000000.0,10362000000.0,
0000050863:2017:FY,INTC,2017,10357000000.0,0.0,756000000.0,10357000000.0,
0000050863:2018:FY,INTC,2018,21007000000.0,0.0,-46000000.0,21007000000.0,
0000050863:2019:FY,INTC,2019,20742000000.0,0.0,-306000000.0,20742000000.0,
0000050863:2020:FY,INTC,2020,21428000000.0,0.0,529000000.0,21428000000.0,
0000050863:2021:FY,INTC,2021,19739000000.0,0.0,-129000000.0,19739000000.0,
0001341439:2011:FY,ORCL,2011,8644000000.0,0.0,0.0,8644000000.0,
0001341439:2012:FY,ORCL,2012,10100000000.0,0.0,0.0,10100000000.0,
0001341439:2013:FY,ORCL,2013,11037000000.0,0.0,0.0,11037000000.0,-260000000.0
0001341439:2014:FY,ORCL,2014,11053000000.0,0.0,0.0,11053000000.0,-75000000.0
0001341439:2015:FY,ORCL,2015,10051000000.0,0.0,0.0,10051000000.0,-898000000.0
0001341439:2016:FY,ORCL,2016,9017000000.0,0.0,0.0,9017000000.0,206000000.0
0001341439:2017:FY,ORCL,2017,9453000000.0,0.0,0.0,9453000000.0,27000000.0
0001341439:2018:FY,ORCL,2018,3960000000.0,0.0,0.0,3960000000.0,-833000000.0
0001341439:2019:FY,ORCL,2019,11144000000.0,0.0,55000000.0,11144000000.0,61000000.0
0001341439:2020:FY,ORCL,2020,10047000000.0,0.0,-93000000.0,10047000000.0,-88000000.0
0001341439:2021:FY,ORCL,2021,14287000000.0,0.0,543000000.0,14287000000.0,541000000.0
0001341439:2022:FY,ORCL,2022,6200000000.0,0.0,-567000000.0,6200000000.0,-517000000.0
0000051143:2011:FY,IBM,2011,12713000000.0,0.0,-3142000000.0,12713000000.0,
0000051143:2012:FY,IBM,2012,12731000000.0,0.0,-3874000000.0,12731000000.0,
0000051143:2013:FY,IBM,2013,20641000000.0,0.0,4157000000.0,20641000000.0,
0000051143:2014:FY,IBM,2014,5748000000.0,0.0,-6274000000.0,5748000000.0,
0000051143:2015:FY,IBM,2015,11459000000.0,0.0,-1731000000.0,11459000000.0,
0000051143:2016:FY,IBM,2016,12081000000.0,0.0,209000000.0,12081000000.0,
0000051143:2017:FY,IBM,2017,8559000000.0,0.0,2806000000.0,8559000000.0,2806000000.0
0000051143:2018:FY,IBM,2018,8252000000.0,0.0,-476000000.0,8252000000.0,-476000000.0
0000051143:2019:FY,IBM,2019,10324000000.0,0.0,893000000.0,10324000000.0,893000000.0
0000051143:2020:FY,IBM,2020,4850000000.0,0.0,-740000000.0,4850000000.0,-740000000.0
0000051143:2021:FY,IBM,2021,5743000000.0,0.0,0.0,5743000000.0,
